year,postal_code,number_of_visits
2016,37421,14
2016,37232,26
2016,37920,34
2016,37920,14
2016,37343,60
2016,37204,13
2016,38501,71
2016,37416,24
2016,37920,53
2016,37211,105
2016,37203,63
2016,37232,43
2016,37232,29
2016,37232,13
2016,37920,38
2016,37421,17
2016,37920,24
2016,37920,35
2016,37232,62
2016,37920,65
2016,37421,19
2016,37232,81
2016,37920,15
2016,37203,26
2016,37343,19
2016,37203,12
2016,37232,35
2016,37421,18
2016,37232,14
2016,37421,18
2016,37920,89
2016,37920,11
2016,37232,15
